ID,order_ID,product_ID,quantity,unitPrice
2e7f4cf9-6499-4d93-9056-5cfee0dfc3a8,c8725019-71d4-4b34-8a6a-ef2af5a79d4d,a1a84005-1382-4c7d-992d-17dd7c906892,1,4.5
c36462dd-4eba-4699-a472-3e5df13d1c63,1582e44d-8dde-4087-8cf4-9c404d5ad52a,5cbb23b2-cc45-4aed-a458-26d7ec6fb5d4,2,6.85
e5b9842a-0afa-4599-8555-44ea9e312980,9f9c80f8-13e4-43ae-8027-d78f0ca0492a,9c1f3632-b3c7-4d74-ac99-6af1ce576445,3,8.7
d6be33e5-e727-434e-a33b-45919371ca24,58c28390-cfe7-4d88-875e-a3141264156c,ce86f5bf-23ee-41f9-9be1-3df289fdb24b,4,10.55
036bd91c-882e-4e21-9f6d-23e7306f7eaf,c860761a-db00-41bc-beae-64eb061ccb24,bcfaceb2-158d-4a5c-9305-8bb64fe378a5,5,12.4
ccf43b56-ad90-4f1a-9427-f5d83ef0ae09,83bba331-be89-4570-9175-beb655aeffa6,84800883-70b1-430d-8422-d1cfa0b8c18a,6,14.25
f4208ef9-256c-4d72-9464-05ca9c1d0454,240f4e6c-4557-4850-8719-c6954131e34a,ccacb365-5a9a-42c1-acd8-169138149cd5,7,16.1
ec1006e7-de05-48e8-8170-7c23d06910d2,662fae27-4536-477c-ab3d-3b51e5eb0c09,96ee434c-de2e-48aa-a171-efde7c151914,8,17.95
c7aa39b9-50e3-40f6-9e7d-862117580e6e,9ffa7011-d60b-4de6-92a8-3201c5c2acff,23ba13c2-df97-404f-a8c2-5cecfbd3c4a8,9,19.8
df0243f7-e1eb-4010-89d4-130148febc30,c8e55d43-442b-4e96-97ef-ed647ba07ad0,045c5a9d-49b5-43d6-8d65-6f7535632a60,10,21.65
8b234bb7-e17b-418a-80be-d7ed6d262dc1,84f2810c-7a1a-421d-becd-289ee64f4b70,124c284b-b6ea-483a-bb38-f3d9a5f67910,11,21.15
9d5c5f55-f4d5-4f37-971a-c530b37d87c3,9aa9f06f-ef27-408b-9897-a4e458a0d778,65dd805b-eb41-4735-ba77-c4b73c854fd1,12,25.35
da2f1882-598b-47b1-bf25-f685c522cb1c,04e49968-8506-490a-9284-d67d2e42bd09,b8435089-2f64-4681-bf0b-d3ac972bc4ac,13,27.2
10098dc3-ddf9-4a85-9937-ac020ce6621d,73c50370-44aa-4953-a7b1-ad820278d947,eb0a0c2f-03f1-43b2-a115-e7264eeeb3c4,14,29.05
6d512e23-d753-41f6-b42a-13958b7909e6,4bef0592-480d-40f4-a7c6-24a6d04952dc,571fe224-0427-4075-97cf-5b8a25ed1c88,15,30.9
03a1bdf6-cf59-4706-ab96-6d0fe9da326b,b9734184-aaf9-41ef-b04e-f2822eaf50e2,ea58fe5c-f413-445b-afb0-41877602f4d4,16,32.75
44965f4d-b51e-4a29-bd49-0f8e35d51a29,9aad672a-acbb-4d2e-bfcf-30ce193fb1cf,f6320f68-5af3-43d0-8f80-a3586c3b9338,17,34.6
98ff0cda-f57e-4037-8146-f80859efd06f,f71de5a8-f8aa-4eae-bf03-bda0a7ed110e,910365fb-65eb-4c8f-a95f-14c4a8866ed9,18,36.45
58bf00e4-9442-4789-8e6d-1dd6c8a06de7,76e131db-9f91-4b50-ad07-f850eac4bc9d,6ff2a620-f346-4df2-a35c-6776b7dc6dcf,19,38.3
2207a13c-dfda-4e84-9d9b-a64e8ae4cccc,2ba47be2-4b29-49a2-9204-7919b4cc8830,5db87a81-cd03-44cf-8854-c55d2f4d64d8,20,40.15
3e22ec01-c6f8-4fbe-8005-d9aa279705c6,a585d6b2-f7e8-441a-aa3a-58b34ace6812,2649868d-02bf-4e3e-b430-c2b0c2f19347,21,37.8
361cb1ac-548c-4d64-b488-dcc4b7a42415,7ca18136-0e23-4a51-a836-06d1d5487e9c,8182f784-15b8-4fbe-9ad1-aff9ae3b8cd5,22,43.85
ff0c8086-6a0d-4976-9511-cefc9460973a,28f19154-27f3-4b32-9149-0f4bfff6ffca,52690ea6-0868-45f4-bdee-561b05d08f18,23,45.7
0a785839-1528-4fd5-80eb-2d28d4befbf8,c0f407c2-45f6-430a-9286-8a2a91ef2dcb,bd5afae4-56fa-4e43-a918-d90273d5b101,24,47.55
4d940994-79d1-4d2c-9367-3425e12caa93,9fb79dde-ad54-4f9c-8df0-bbed224e1ed8,20fa769c-7b0e-4110-bf99-21f26a165235,25,49.4
2edd0374-6b8b-43c7-9027-446dab2261b9,98ddd515-23db-4929-96d2-ffdb28f854e0,76b5d2e9-964d-49b7-820c-e720ff2655e2,26,51.25
98e3fc31-1001-4351-844d-403d4002d35f,1ebd17f6-b936-49c5-b3ba-6870f056d53f,45594bf1-bad9-4c92-9049-ca86170504fa,27,53.1
a43c8c02-c3dd-4479-9e28-7eed6bef8659,fce286ec-ea21-4018-aab2-e4b885e18d4d,3fecd3bb-dcb0-4b5d-bcf7-7e7705a31c66,28,54.95
8d59ca16-175d-477f-a533-d3aeb3079e44,d3645e98-888f-470f-831c-92ab261fbe21,92f1a3b7-d027-423f-8663-2c8bf7e562e2,29,56.8
3d64679d-cc09-4236-bde1-5b47dffe0052,e55893fb-f9a2-41da-a6a8-fd25daa3ca0b,b90f44ac-396f-44bb-899f-f32f735e3de3,30,58.65
a2d5b94f-ab86-42c8-9fb7-8ff7076e7dfd,ecffe4bd-057b-4b5e-8a5e-476c189acdd6,833d353b-ed6d-494a-b529-24c50de310a3,31,54.45
900007b3-5bf5-4a8b-a908-998bf9235af3,e43a368f-d54e-43fd-bab1-70f3598f69b7,00fdd807-f9ad-4085-b751-f5d6dd2d6d2f,32,62.35
6c876aa8-ed3f-43bb-9f7a-8c443d435cb0,0aa38b2c-35e2-4f73-84d4-cff65e94f81b,cc72c859-eab5-4f86-983a-0da26edca9bb,33,64.2
32706749-45dd-4f4e-aba6-5bd9ad747372,fd7b4218-bdf4-416a-aa09-d1cfaecf039b,6df5a320-a94e-4eeb-8800-c8d324bdc74a,34,66.05
8cf7a304-ef7d-4e7a-b8c5-e4e9d32bf571,a5125bae-e36d-4620-883d-88ce35c917a5,7c00615f-f0d1-40a9-a540-1b06ccb81987,35,67.9
a4c42274-fedf-4994-b773-c896de0ce486,866402d0-e590-4a42-be89-035d08260e0d,4f656cab-885b-4d7d-8f72-cf07891591f4,36,69.75
f9e4ab61-4c91-4afb-9726-5db33526cf1c,62cb521f-0b31-425c-98f3-9e0beea9a586,700d0f1d-fc99-4592-9b7b-9825d363609f,37,71.6
fd56d5e3-06ff-4f7f-8b72-2a2b246eb165,e6165dd0-b92e-4325-992e-767f45a621f7,32f80995-2487-4ee9-a517-0b0961626938,38,73.45
fc1a78d8-506e-4599-8012-2a1e04fe8e30,e69859dd-3e5c-43e1-9902-cbc856b392e8,f35cfc64-a2ea-4501-8a64-06bbdd0758e0,39,75.3
95b54e9e-48e6-4a25-8b8d-228aedfed826,eb65193d-1bf0-4bd5-8fa1-d584475cd6d3,f2185b1a-ff7e-412a-8477-4f652611a826,40,77.15
55b037d1-c6c4-4496-82ff-9a1b2c413c73,ce74084f-1b19-4ab3-b014-3821ea0cd137,a65cf9b2-242f-4b1e-a531-7b4dd9100f4a,41,71.1
63848c86-baf6-478b-91d3-afd0cbe3ac55,65ad6141-a144-4baf-b4cf-37a152600760,5f448bbe-baee-4120-903e-334f3d25c026,42,80.85
