ID,createdAt,createdBy,modifiedAt,modifiedBy,isDeleted,order_ID,product_ID,quantity,unitPrice,discount
488e5092-061d-4bcf-bc92-488e7dd5f2c5,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,49a42561-ea54-447a-9e8d-f3d4094e1b94,b1f47bea-d6d4-4714-916e-6139c854cc2b,1,5,0.1
7bb51e9e-ff02-4402-bec3-a4c68f10af10,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,fb9d3b34-e134-49c0-905c-a481e0cbf122,f7eb5b97-e5b9-494d-9659-07a8d2170010,2,6.85,0
51997468-d227-463e-b325-3bf348effe04,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,65ba7624-c8ec-48e6-8402-ded420eb928c,b3a4a1a0-0265-43b3-985f-b0846668f787,3,8.7,0
ea3d6f59-f35c-4b6f-8c86-006193ac06b7,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,c43a83cf-1f2d-4683-928a-114afcb69a41,713a9b37-14c1-4916-beaa-57f01c053894,4,10.55,0
30a24ca7-b296-4897-bf3f-31a42a251b63,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,b4a15746-e006-421b-85ae-2234315b26a1,e5324ffe-4084-42a9-8515-54fc7eab97b9,5,12.4,0
5515870a-c45a-438f-bb3a-ee29bb3a7597,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,15fabef6-ae44-4c07-85b3-19a9d82e7d36,dbd67e09-01c4-4ae2-b282-1b0cc6206e15,6,14.25,0
037589f3-3a48-401d-8d74-d2c53209483f,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,2be9cbc9-6873-4b8f-8709-d0ea60929f7e,de3a57fe-1b21-425f-91dd-6966a39aa602,7,16.1,0
3455762a-b186-4ab4-b963-701315ec79ad,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,b3c801d7-69c5-4de2-ac75-47f6d161ffdd,1a3ca176-1388-4579-bae2-6531fe5ebc0c,8,17.95,0
31a6b920-454a-4cac-b36b-2b6245ffd2af,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,88fd8f8a-53e2-4d5e-bf6a-4a378b9644e8,85c640a1-686f-4171-a4e6-55ffa1e2d1e4,9,19.8,0
b7a4d07f-d054-42cd-a8da-6cd10e87c017,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,d0dcdf3c-2854-4046-880b-57c47b847718,2b55048f-bbfd-4226-87f5-77419bfc9518,10,21.65,0
88c8e5fa-f6e6-4dc7-adef-fd521111ecfc,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,48ede1d7-06db-4e92-bd79-c3864660d86c,3e3ea516-5e42-42fb-93d1-7afba71d3acf,11,23.5,0.1
db77bcdd-74d7-4c71-b587-cd118be783b7,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,969b4bde-20ec-4484-8c0c-28153bc7c2a0,90699d5d-8e69-4964-a4a3-0ec379092b5e,12,25.35,0
743755d2-9b11-4b4c-9503-b5c314a98fb6,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,00069d0d-83ed-44f8-b459-a26f8bb82abe,9349eba5-d00c-4b18-9736-a5d139d7fb29,13,27.2,0
016d7b92-72f8-4455-b786-8f22123bebca,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,a473c38c-a0b6-429c-859e-64e62dcbe0c0,c66406a8-7609-4fb9-86c1-0e9d90a4042c,14,29.05,0
3359624d-39ba-4fbf-a1f4-ba570d6537e7,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,ae273106-f0de-45b8-acf2-11b4389b307b,b83605b2-96ea-461c-b817-0e20c01aa504,15,30.9,0
38f0b9ba-0267-4c35-85bb-f3ea20579971,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,9ac51a6a-f500-41a8-8a31-f27df8f9db2e,04ad60ad-d32b-4a0c-b4b1-d3395a1685c7,16,32.75,0
e1bca0f4-76f1-4128-8db5-e68bf36df69f,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,546f8f1c-6b84-4a36-8257-c140a5be7743,e41ac8d3-e9d4-4afc-ad1b-661dab8c3bbe,17,34.6,0
84600061-3401-4694-8f99-03a136951a20,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,4913b5ca-b261-409d-91e6-e63d5cf02a3e,91573ce8-7c55-42e0-aa30-82969569aa89,18,36.45,0
0390e69b-8393-4ccb-b555-e12a390d69e3,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,ca4efff5-eaa1-46ba-a9ff-befc4717da62,a0138d02-f2ef-4ab7-a94f-d75a02c4be67,19,38.3,0
772786ba-9ed9-4068-b9bc-faead9bde073,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,da874095-6f30-492e-a6c8-ca2365de9829,0c0b8157-40c8-49b6-8b49-2f68180c8ad3,20,40.15,0
0b9c2aee-9729-4aad-9584-fa9a350e04a9,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,f61ddc07-7d31-44d9-80ab-7288bfecbda5,c5a635e9-d528-4b57-a45f-3727ad6c82ca,21,42,0.1
6173eecd-6e6d-41fb-a960-40ee61e189ad,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,1b33a005-5a03-4c12-9b7d-77e03e2e3dbb,8a330fcd-e00a-4f51-b4d4-fcd0339aa73c,22,43.85,0
6c80e118-74ce-4f54-83dd-469f17969290,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,730ad385-27c4-4fa8-b44a-6a0be382b560,c41db614-2b42-4009-805d-383ff1360729,23,45.7,0
9d412df7-cf0a-41e2-b315-7253f1851476,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,false,c384a74d-d724-4d7c-af55-0ef6d56ac37d,d534a0f4-8ae8-4a2b-be74-6a27576fd6e6,24,47.55,0
