ID,createdAt,createdBy,modifiedAt,modifiedBy,productNumber,name,unitPrice,unitsInStock,unitsOnOrder,reorderLevel,discontinued,isDeleted,category_ID
b1f47bea-d6d4-4714-916e-6139c854cc2b,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,11,Uncle Bob's Chai,5,3,17,10,true,false,0f89b15a-4dc9-44bd-923d-719d30c05517
f7eb5b97-e5b9-494d-9659-07a8d2170010,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,12,Grandma's Syrup,6.85,509,0,15,false,false,271abcf5-843a-43f9-8723-140348e8a59b
b3a4a1a0-0265-43b3-985f-b0846668f787,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,13,Chef Anton's Cajun Seasoning,8.7,270,0,20,false,false,5cc5cee1-7134-40bb-8319-d130dd70e300
713a9b37-14c1-4916-beaa-57f01c053894,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,14,Northwoods Gumbo Mix,10.55,451,0,25,false,false,0e22a793-f42c-4185-af39-b101ec13a32e
e5324ffe-4084-42a9-8515-54fc7eab97b9,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,15,Tokyo Boysenberry Spread,12.4,385,0,10,false,false,3f825a6c-2945-4016-bab9-c96a7c1821d0
dbd67e09-01c4-4ae2-b282-1b0cc6206e15,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,16,Cooper's Dried Pears,14.25,5,0,15,false,false,271705c5-2050-4ce1-9cec-e97643ea267c
de3a57fe-1b21-425f-91dd-6966a39aa602,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,17,Boston Cranberry Sauce,16.1,205,0,20,false,false,9ba48e8b-18ba-4ecc-bc09-0b266973f310
1a3ca176-1388-4579-bae2-6531fe5ebc0c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,18,Louisiana Mishi Kobe Niku,17.95,391,39,25,false,false,78746db0-30d2-4b68-abc5-ed6e7d4e8106
85c640a1-686f-4171-a4e6-55ffa1e2d1e4,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,19,Outback Ikura,19.8,398,0,10,false,false,0545e406-dded-452c-969e-117ce720f911
2b55048f-bbfd-4226-87f5-77419bfc9518,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,20,Singapore Queso Cabrales,21.65,178,0,15,false,false,90c155e4-ed5a-485a-ab70-5c83a959b352
3e3ea516-5e42-42fb-93d1-7afba71d3acf,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,21,Rhönbräu Tofu,23.5,2,0,20,false,false,e97cd115-acaa-4de1-a0db-28b35a4a57c7
