ID,createdAt,createdBy,modifiedAt,modifiedBy,name,description,isDeleted
0f89b15a-4dc9-44bd-923d-719d30c05517,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Premium Beverages,"High quality, select items in the Premium Beverages department.",false
271abcf5-843a-43f9-8723-140348e8a59b,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Organic Condiments,"High quality, select items in the Organic Condiments department.",false
5cc5cee1-7134-40bb-8319-d130dd70e300,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Gourmet Confections,"High quality, select items in the Gourmet Confections department.",false
0e22a793-f42c-4185-af39-b101ec13a32e,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Fresh Dairy,"High quality, select items in the Fresh Dairy department.",false
3f825a6c-2945-4016-bab9-c96a7c1821d0,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Selected Grains,"High quality, select items in the Selected Grains department.",false
271705c5-2050-4ce1-9cec-e97643ea267c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Signature Meats,"High quality, select items in the Signature Meats department.",false
9ba48e8b-18ba-4ecc-bc09-0b266973f310,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Artisanal Produce,"High quality, select items in the Artisanal Produce department.",false
78746db0-30d2-4b68-abc5-ed6e7d4e8106,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Local Seafood,"High quality, select items in the Local Seafood department.",false
0545e406-dded-452c-969e-117ce720f911,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Imported Snacks,"High quality, select items in the Imported Snacks department.",false
90c155e4-ed5a-485a-ab70-5c83a959b352,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Specialty Breads,"High quality, select items in the Specialty Breads department.",false
e97cd115-acaa-4de1-a0db-28b35a4a57c7,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Deluxe Desserts,"High quality, select items in the Deluxe Desserts department.",false
469d46ba-0446-4a1f-b142-56cad6531e70,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Traditional Sauces,"High quality, select items in the Traditional Sauces department.",false
222827df-618e-46dc-b09d-0262ef839533,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Vintage Beverages,"High quality, select items in the Vintage Beverages department.",false
c5c58021-0d7a-4043-a059-08fc0874207e,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Eco-Friendly Spices,"High quality, select items in the Eco-Friendly Spices department.",false
634f5263-4a40-46b1-9e10-4875e1bc2795,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Diet Oils,"High quality, select items in the Diet Oils department.",false
9e2735f6-f1cc-4c42-9512-bb108bb93d76,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Gluten-Free Extracts,"High quality, select items in the Gluten-Free Extracts department.",false
740f2500-1728-4aa7-af76-0d694dd2956c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Premium Condiments,"High quality, select items in the Premium Condiments department.",false
f033316b-4664-4442-b787-6da86968dfea,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Organic Confections,"High quality, select items in the Organic Confections department.",false
b2f04e79-b4a4-4c02-ba1f-b5dea97a858c,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Gourmet Dairy,"High quality, select items in the Gourmet Dairy department.",false
11890959-ff1a-41b5-920f-ad4410e5baed,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Fresh Grains,"High quality, select items in the Fresh Grains department.",false
4845010e-4d8a-4cdf-984b-46546273b037,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Selected Meats,"High quality, select items in the Selected Meats department.",false
d3ebd8a1-d032-467d-b924-94d6861cda84,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Signature Produce,"High quality, select items in the Signature Produce department.",false
a6a1f388-3d4e-40fd-b1de-dcde0004c02e,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Artisanal Seafood,"High quality, select items in the Artisanal Seafood department.",false
22126049-3c3a-4e86-88b3-b0067da2f354,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Local Snacks,"High quality, select items in the Local Snacks department.",false
e19b3bd9-4832-4dad-b50c-72219d5f650a,2026-05-23T15:00:00Z,anonymous,2026-05-23T15:00:00Z,anonymous,Imported Breads,"High quality, select items in the Imported Breads department.",false
